,^GSPC,^RUT,^FTSE,^N225,^GDAXI
^GSPC,,0.0003126058166863489,1.5381316444114576e-07,0.000569300833993193,2.3638777963058363e-05
^RUT,0.002282167157353899,,0.4263247964843885,6.339656435106092e-08,4.5231101109640946e-10
^FTSE,1.7908997939360763e-10,0.612847857965219,,0.03033968419994536,6.097614862639229e-20
^N225,0.1940184418784513,0.006907009254954754,0.4411663414483352,,0.04605566689693061
^GDAXI,0.015025912802993589,1.667208950911282e-05,0.00016941684728278685,0.258473220847819,
