,delta_alpha,hurst,ineff_abs,ineff_signed
1992-10-26,0.17419097652475635,0.502289178505218,0.0003987542392634119,0.0003987542392634119
1992-10-27,0.1806284961084505,0.4982463614224287,0.00031675709898447093,-0.00031675709898447093
1992-10-28,0.18992008821077283,0.497550656876495,0.000465179462074515,-0.000465179462074515
1992-10-29,0.2542956132241211,0.49643345204702505,0.0009069574987949992,-0.0009069574987949992
1992-10-30,0.16333340404778357,0.4967278135358597,0.0005344573538671145,-0.0005344573538671145
1992-11-02,0.2229320715832926,0.4970500323342896,0.0006576424028205436,-0.0006576424028205436
1992-11-05,0.1387686669402498,0.49821605463540014,0.0002475557201397604,-0.0002475557201397604
1992-11-06,0.15688149225227455,0.49602607945768024,0.0006234345847710927,-0.0006234345847710927
1992-11-09,0.17865446219212666,0.4724493541827871,0.004922045811519934,-0.004922045811519934
1992-11-10,0.1885793783286781,0.4727493244151454,0.005138915460828369,-0.005138915460828369
1992-11-11,0.17893055360600857,0.47257975149344994,0.004906320245291332,-0.004906320245291332
1992-11-12,0.1800675531055142,0.49300280694316007,0.00125996743235206,-0.00125996743235206
1992-11-13,0.17927403744310438,0.4907764895797073,0.0016535359524444133,-0.0016535359524444133
1992-11-16,0.2476032976214949,0.48888978350326895,0.002750926241879341,-0.002750926241879341
1992-11-17,0.17303986349110168,0.4677204409399591,0.005585650493302427,-0.005585650493302427
1992-11-20,0.25116976871177277,0.4883686606804384,0.00292144080670244,-0.00292144080670244
1992-11-25,0.1658622701653517,0.4686591742832835,0.005198260502231232,-0.005198260502231232
1992-11-30,0.16392650763801386,0.4694042233498528,0.0050154588147313175,-0.0050154588147313175
1992-12-01,0.17064165973257472,0.48813756477258063,0.002024225635677003,-0.002024225635677003
1992-12-02,0.17066564929084616,0.48890170496264984,0.0018940977285707406,-0.0018940977285707406
1992-12-03,0.17755212459557235,0.48753704732639624,0.0022128237259324154,-0.0022128237259324154
1992-12-04,0.17939587448240746,0.48801455323028287,0.002150139704315751,-0.002150139704315751
1992-12-07,0.18642879821103187,0.48692376037500684,0.0024377876384069483,-0.0024377876384069483
1992-12-08,0.24030807099101115,0.4878791685097936,0.0029127336342185967,-0.0029127336342185967
1992-12-09,0.15325374728249164,0.4881519275213388,0.0018157615054293893,-0.0018157615054293893
1992-12-10,0.22082456691664154,0.4883684048663696,0.0025685419579336436,-0.0025685419579336436
1992-12-11,0.1456536659024239,0.4869409566644358,0.0019020975350035405,-0.0019020975350035405
1992-12-14,0.1597282108716379,0.4855723137804231,0.002304508506870405,-0.002304508506870405
1992-12-15,0.18660261384197918,0.4864160638474281,0.002534797992332478,-0.002534797992332478
1992-12-16,0.19182554517512773,0.4846156536994258,0.0029511106162706103,-0.0029511106162706103
1992-12-17,0.18166924186243416,0.4855535776475763,0.0026244705963893392,-0.0026244705963893392
1992-12-18,0.17324749803274453,0.4864327708164119,0.002350488511293474,-0.002350488511293474
1992-12-21,0.17813414008821937,0.4859111229644595,0.002509709995534671,-0.002509709995534671
1992-12-22,0.25246540793577243,0.4858573274363555,0.003570535598082562,-0.003570535598082562
1992-12-30,0.17937057860428718,0.4827041683739556,0.0031023633262059172,-0.0031023633262059172
1993-01-05,0.25460525647142096,0.48058080033472367,0.004944230311247412,-0.004944230311247412
1993-01-06,0.16387069874248483,0.4805195902603156,0.00319226835583199,-0.00319226835583199
