,^GSPC,^RUT,^FTSE,^N225,^GDAXI
^GSPC,,0.13694625448275413,0.00020907545843647192,0.13622507308844675,1.0395463956868186e-08
^RUT,0.013187796035365646,,0.05717962733067387,0.00012000758625344391,1.0473426874754462e-06
^FTSE,1.033759053343914e-08,0.06119571156397031,,0.46972115921790925,4.819531057492848e-06
^N225,0.04566901228083554,0.0010028148307699711,0.6485520380259201,,0.015116924095559472
^GDAXI,0.03382234723520813,0.0018153425678639895,0.12211188804681875,0.055499443168016915,
