,delta_alpha,hurst,ineff_abs,ineff_signed
1992-10-26,0.14822040139973575,0.44475505798546106,0.008188427480700089,-0.008188427480700089
1992-10-27,0.14947200722894688,0.4529657736229949,0.007030300225031631,-0.007030300225031631
1992-10-28,0.14764037992868884,0.44485877011525654,0.008141072129918695,-0.008141072129918695
1992-10-29,0.16980031815548924,0.447694243872998,0.00888153403172837,-0.00888153403172837
1992-10-30,0.1700283572312402,0.4488032804149773,0.008704894126669872,-0.008704894126669872
1992-11-02,0.17857219135666752,0.45000237927110903,0.008928184696177604,-0.008928184696177604
1992-11-05,0.18368355898639788,0.45049809184053197,0.009092686667348897,-0.009092686667348897
1992-11-06,0.17126363038699816,0.4506302764463896,0.00845523808699381,-0.00845523808699381
1992-11-09,0.18758330700865283,0.4511166774869538,0.00916969529456774,-0.00916969529456774
1992-11-10,0.183461341158493,0.45318382888229364,0.008588957541159913,-0.008588957541159913
1992-11-11,0.18815170020600014,0.454013583288626,0.008652422490626633,-0.008652422490626633
1992-11-12,0.18909879551605846,0.45329877137446356,0.00883114608220901,-0.00883114608220901
1992-11-13,0.1706430276628242,0.4530022405936521,0.008019839958468186,-0.008019839958468186
1992-11-16,0.1621749311057738,0.4531756070516239,0.007593742700472574,-0.007593742700472574
1992-11-17,0.1496371069486221,0.45271508359871915,0.007075578092595117,-0.007075578092595117
1992-11-20,0.15390555693563146,0.4525409676797894,0.007304208800868145,-0.007304208800868145
1992-11-25,0.1757186327822733,0.4523813818514442,0.008367478476045367,-0.008367478476045367
1992-11-30,0.1752624855244182,0.45252573627329684,0.008320457459183724,-0.008320457459183724
1992-12-01,0.19516522755575455,0.45239872757803473,0.009290113164176316,-0.009290113164176316
1992-12-02,0.17142510989761972,0.4528459518756659,0.008083387881831623,-0.008083387881831623
1992-12-03,0.156507382287563,0.45297755204804757,0.007359360237713252,-0.007359360237713252
1992-12-04,0.156312879359171,0.4532259043501161,0.007311393570454624,-0.007311393570454624
1992-12-07,0.14839629359022638,0.4540111099279079,0.006824580833026828,-0.006824580833026828
1992-12-08,0.17247641085551862,0.45401809863221054,0.007930793312228788,-0.007930793312228788
1992-12-09,0.17378757586427696,0.4528878896657577,0.008187499448838318,-0.008187499448838318
1992-12-10,0.17308667225514934,0.45226969135374534,0.008261480289291401,-0.008261480289291401
1992-12-11,0.1691661725614258,0.4520390220579277,0.008113375070763344,-0.008113375070763344
1992-12-14,0.1557468895811957,0.4516218949392806,0.007534739387039346,-0.007534739387039346
1992-12-15,0.17700085142805733,0.45065843713860076,0.008733498637258677,-0.008733498637258677
1992-12-16,0.16802419385682527,0.45028487411855145,0.008353343948720983,-0.008353343948720983
1992-12-17,0.1590464826980021,0.4503319809123138,0.00789952373847372,-0.00789952373847372
1992-12-18,0.15997159279921236,0.45049205404370773,0.007919864970845398,-0.007919864970845398
1992-12-21,0.13202466083538023,0.45027570094963587,0.006564833717401343,-0.006564833717401343
1992-12-22,0.12906879890221634,0.44925432651414854,0.006549683126302894,-0.006549683126302894
1992-12-30,0.12320804640387872,0.4497000117594602,0.0061973632852549785,-0.0061973632852549785
1993-01-05,0.13250543269016807,0.4492603810626529,0.00672327516182742,-0.00672327516182742
1993-01-06,0.1585605073872351,0.4495741040012195,0.007995555655022584,-0.007995555655022584
1993-01-07,0.15739028957974294,0.4492910159262058,0.007981101687669042,-0.007981101687669042
1993-01-08,0.16375329120691184,0.4485025084557804,0.008432883729266075,-0.008432883729266075
1993-01-11,0.1286195994009059,0.448208288292713,0.006661429212078465,-0.006661429212078465
1993-01-12,0.11211826474914177,0.44733742993864917,0.00590443597250876,-0.00590443597250876
1993-01-13,0.11639688471374932,0.4482550400970316,0.006022952132343394,-0.006022952132343394
