,delta_alpha,hurst,ineff_abs,ineff_signed
1992-10-26,0.09755922307235299,0.493978346511406,0.000587467835958156,-0.000587467835958156
1992-10-27,0.08979382800362168,0.4939557906414029,0.0005427326955637502,-0.0005427326955637502
1992-10-28,0.07893283055758021,0.49352832131239743,0.0005108279172716365,-0.0005108279172716365
1992-10-29,0.09117966726061771,0.5053416040069411,0.000487045675990868,0.000487045675990868
1992-10-30,0.0692684967889689,0.45327934937554804,0.003236269237758389,-0.003236269237758389
1992-11-02,0.09339391506571687,0.4550933036418069,0.004194012185559024,-0.004194012185559024
1992-11-05,0.08334894640029006,0.4551881897504398,0.0037350171705905627,-0.0037350171705905627
1992-11-06,0.08713456253822444,0.4550232523301735,0.003919029232602438,-0.003919029232602438
1992-11-09,0.09755141277005963,0.5064503868341539,0.0006292443485851041,0.0006292443485851041
1992-11-10,0.09954581467732093,0.5099258998435062,0.0009880817863273195,0.0009880817863273195
1992-11-11,0.10908885019073511,0.5105628572428422,0.0011522899513505371,0.0011522899513505371
1992-11-12,0.11653359250572515,0.5094080325803426,0.0010963518349982324,0.0010963518349982324
1992-11-13,0.10459238163754592,0.5075010917823837,0.0007845570544013327,0.0007845570544013327
1992-11-16,0.11519626978059105,0.5082107936031998,0.000945852795026951,0.000945852795026951
1992-11-17,0.10151193689516141,0.5079398807845614,0.0008059926771575042,0.0008059926771575042
1992-11-20,0.11973070335127933,0.5072711656715331,0.0008705817800363324,0.0008705817800363324
1992-11-25,0.1253202499798034,0.5063397423939859,0.0007944981016218748,0.0007944981016218748
1992-11-30,0.11580490255883058,0.5074774829600659,0.000865929185575747,0.000865929185575747
1992-12-01,0.1321377215493158,0.5071356364917875,0.0009428867478289534,0.0009428867478289534
1992-12-02,0.11456229388117367,0.5084252803674242,0.000965219445484132,0.000965219445484132
1992-12-03,0.11425173767371788,0.508429958916932,0.0009631374547775326,0.0009631374547775326
1992-12-04,0.10822333246818022,0.5094287720724436,0.0010204131347627604,0.0010204131347627604
1992-12-07,0.10832474410681919,0.5109634115249473,0.0011876087479776672,0.0011876087479776672
1992-12-08,0.10907197615853526,0.5103474920414055,0.0011286214052408144,0.0011286214052408144
1992-12-09,0.09593002067510104,0.508441979502592,0.0008098392682224255,0.0008098392682224255
1992-12-10,0.102214283489997,0.5084491477194047,0.0008636235802400986,0.0008636235802400986
1992-12-11,0.10227532836136971,0.5087647031460348,0.0008964128922506429,0.0008964128922506429
1992-12-14,0.10394566880007033,0.5073029474535835,0.0007591097572745084,0.0007591097572745084
1992-12-15,0.11241238616624921,0.5058963434788645,0.0006628220401149585,0.0006628220401149585
1992-12-16,0.11320768469294179,0.5058862852954102,0.0006663727297355025,0.0006663727297355025
1992-12-17,0.11666986229114501,0.5069671542327308,0.0008128569248938652,0.0008128569248938652
1992-12-18,0.12719693284099598,0.5093603098756657,0.0011906027066259637,0.0011906027066259637
1992-12-21,0.11316869653528383,0.5088987850385123,0.001007063903556119,0.001007063903556119
1992-12-22,0.12381670230316699,0.5071460868809745,0.0008848049119741882,0.0008848049119741882
1992-12-30,0.1065030873270631,0.5075722652165312,0.0008064696236199052,0.0008064696236199052
1993-01-05,0.12513921584715204,0.507039854701849,0.0008809618970672677,0.0008809618970672677
1993-01-06,0.11786943115575382,0.5071204326707229,0.0008392813484809569,0.0008392813484809569
1993-01-07,0.12256072447717559,0.5063751450832848,0.0007813424000544951,0.0007813424000544951
1993-01-08,0.11719483386336338,0.505927515777382,0.0006946742267527537,0.0006946742267527537
1993-01-11,0.10608585787367786,0.5056325750284083,0.0005975365539265504,0.0005975365539265504
1993-01-12,0.11425267476792467,0.5057977908372195,0.0006624131108972979,0.0006624131108972979
1993-01-13,0.11820911300492182,0.5086233525734557,0.0010193588588369082,0.0010193588588369082
1993-01-14,0.1185520756022232,0.5088541211492761,0.0010496744398802217,0.0010496744398802217
1993-01-19,0.12096779586748835,0.507921253970683,0.0009582166333401121,0.0009582166333401121
1993-01-20,0.11134228176653643,0.5075844471501748,0.000844469651638168,0.000844469651638168
1993-01-21,0.12011823735243482,0.5071819876973864,0.0008626877028969297,0.0008626877028969297
1993-01-22,0.12830882682806594,0.5064350618649344,0.0008256752384557546,0.0008256752384557546
1993-01-25,0.1283772325540023,0.507311410826687,0.000938618687995442,0.000938618687995442
1993-01-26,0.14109601398063426,0.5072708137229628,0.001025882834705745,0.001025882834705745
1993-01-27,0.13627997469555686,0.5093779926704515,0.0012780326038242446,0.0012780326038242446
1993-01-28,0.15074491444154903,0.5117046403099323,0.0017644150020898574,0.0017644150020898574
1993-01-29,0.1469616240335616,0.5119089681371553,0.0017501612980002747,0.0017501612980002747
1993-02-01,0.14061899841969794,0.5119701770137994,0.001683234302586967,0.001683234302586967
1993-02-02,0.146617183652843,0.5128114428414711,0.0018783776679458639,0.0018783776679458639
1993-02-03,0.12876272961234309,0.5135127365212789,0.001739936839012273,0.001739936839012273
1993-02-04,0.14844066568119996,0.5119682454897522,0.0017765743275348315,0.0017765743275348315
1993-02-05,0.14513512980353283,0.5115788234905394,0.0016804940502716313,0.0016804940502716313
1993-02-08,0.14753153746322067,0.5102434755741106,0.0015112357004154913,0.0015112357004154913
1993-02-09,0.132163518339946,0.5093696551944821,0.0012383265961349017,0.0012383265961349017
1993-02-10,0.12148338895255906,0.5091350820107327,0.0011097607210233602,0.0011097607210233602
1993-02-17,0.12866318168911406,0.5089106616543301,0.0011464740794012924,0.0011464740794012924
1993-02-18,0.13535184472623296,0.5150525740637676,0.002037393667409192,0.002037393667409192
1993-02-19,0.12260806594080498,0.5155665841750044,0.0019085887790020368,0.0019085887790020368
1993-02-22,0.13166518350246476,0.5160598080310416,0.002114517571421445,0.002114517571421445
1993-02-23,0.10698015126232496,0.5165189408997356,0.001767198796147121,0.001767198796147121
1993-02-24,0.1259770944360148,0.5186308639671148,0.002347062109409763,0.002347062109409763
1993-02-25,0.13385122808311933,0.518857123912778,0.0025240491938408986,0.0025240491938408986
1993-02-26,0.13583231417282943,0.5177612457541022,0.0024125511133720437,0.0024125511133720437
1993-03-01,0.1425360874458716,0.516511374433703,0.0023534667101338174,0.0023534667101338174
1993-03-02,0.13888008600294977,0.5172179488171521,0.002391230212520472,0.002391230212520472
1993-03-03,0.15666317361166288,0.5175914198572142,0.0027559276631664085,0.0027559276631664085
1993-03-04,0.13892903089781322,0.5176193765803603,0.00244784291333308,0.00244784291333308
1993-03-05,0.12931350038698025,0.5177231964017487,0.0022918485647560557,0.0022918485647560557
1993-03-08,0.1299200195082464,0.5189771003028627,0.0024655052415578707,0.0024655052415578707
1993-03-09,0.11457287138008382,0.5209892565403001,0.002404799389955392,0.002404799389955392
1993-03-10,0.1293010437834693,0.5206831500100595,0.0026743528850307658,0.0026743528850307658
1993-03-11,0.13585003746902818,0.5215794839413299,0.002931573701991961,0.002931573701991961
1993-03-12,0.12379516622626857,0.5225355692570955,0.0027897945421857307,0.0027897945421857307
1993-03-15,0.12015368473062171,0.5224107720418586,0.002692736838487309,0.002692736838487309
1993-03-16,0.11731375800890959,0.5222125564077512,0.0026058384671781803,0.0026058384671781803
1993-03-17,0.12227898171559753,0.5213436754532098,0.00260988290048669,0.00260988290048669
1993-03-18,0.11770890408873469,0.5217705221593302,0.0025625843048142686,0.0025625843048142686
1993-03-19,0.10202799331920887,0.5218815825653295,0.0022325339597891515,0.0022325339597891515
1993-03-22,0.11946168032990312,0.520043969642696,0.0023944862939980255,0.0023944862939980255
1993-03-23,0.09550919467426389,0.5197794826118035,0.001889122455326959,0.001889122455326959
1993-03-24,0.12080761276410229,0.5204193195691817,0.0024668092514201646,0.0024668092514201646
1993-03-25,0.12192538517443458,0.5190818615903995,0.002326563324254706,0.002326563324254706
1993-03-26,0.12303196710030823,0.5188381082162418,0.002317689510292703,0.002317689510292703
1993-03-29,0.12222990486092239,0.5191047522325927,0.0023351720477812967,0.0023351720477812967
1993-03-30,0.1256755534118289,0.5193173671445686,0.002427720806353134,0.002427720806353134
1993-03-31,0.1260414572934278,0.5182190237832328,0.002296352308102284,0.002296352308102284
1993-04-01,0.11723797310789613,0.5178193489370737,0.002089104351484865,0.002089104351484865
1993-04-02,0.10574790790872873,0.5174087080374036,0.001840934454349299,0.001840934454349299
1993-04-05,0.11185348507545512,0.5166254921987048,0.0018596192435199222,0.0018596192435199222
1993-04-06,0.10067076978120687,0.5151145030816395,0.001521588660089075,0.001521588660089075
1993-04-07,0.11001973221112366,0.5157731327029417,0.0017353558361081598,0.0017353558361081598
1993-04-08,0.11416238500440617,0.5159616430668271,0.0018222192410980288,0.0018222192410980288
1993-04-14,0.10562299746404641,0.517966176723855,0.0018976414385423496,0.0018976414385423496
1993-04-15,0.11755855888285449,0.5167767982210296,0.0019722562215326793,0.0019722562215326793
1993-04-16,0.11264381160854675,0.5174277171975042,0.0019631244927626984,0.0019631244927626984
1993-04-19,0.11911476829830314,0.5162326745659926,0.0019335512697899724,0.0019335512697899724
1993-04-20,0.11145793011134175,0.5163471106136484,0.001822015112298391,0.001822015112298391
1993-04-21,0.11937502707317488,0.5175947332506649,0.0021003717581434067,0.0021003717581434067
1993-04-22,0.1292659933326365,0.5166395846932204,0.002150932444011663,0.002150932444011663
1993-04-23,0.11228227648319011,0.5167466158996865,0.0018803481566063884,0.0018803481566063884
1993-04-26,0.13650962482349832,0.5156840804978978,0.0021410279444695787,0.0021410279444695787
1993-04-27,0.13890143805447097,0.5177433258441705,0.002464573475624341,0.002464573475624341
1993-04-28,0.14441483265688354,0.5171943917446482,0.0024831252064402708,0.0024831252064402708
1993-05-07,0.1500545283973566,0.5166408721556643,0.0024970382234389163,0.0024970382234389163
1993-05-10,0.1594279251024155,0.5161351183681658,0.002572388442718551,0.002572388442718551
1993-05-11,0.15459518957140622,0.5170747781868976,0.0026396785706931498,0.0026396785706931498
1993-05-12,0.15548341009846783,0.5180351816660678,0.002804171547185583,0.002804171547185583
1993-05-13,0.14601353818057772,0.5160294694165398,0.00234051954466634,0.00234051954466634
1993-05-14,0.1548074865226649,0.5175083642595819,0.0027104258641491344,0.0027104258641491344
1993-05-17,0.12900355964497529,0.5191575167663232,0.0024713878568139833,0.0024713878568139833
1993-05-18,0.15235459300448384,0.5186783138489418,0.002845726904465543,0.002845726904465543
1993-05-19,0.15133580489395804,0.5199705561120198,0.003022260183392471,0.003022260183392471
1993-05-24,0.15416088334755707,0.521671934462222,0.0033409645605465142,0.0033409645605465142
1993-05-25,0.1596550496916651,0.5206255777653427,0.0032929776430450893,0.0032929776430450893
1993-05-26,0.15137924218949855,0.5197239698115784,0.002985799603045288,0.002985799603045288
1993-05-27,0.1611713216077011,0.519395103331285,0.0031259344366211333,0.0031259344366211333
1993-05-28,0.15947029490336695,0.518892678043315,0.003012820939081802,0.003012820939081802
1993-06-02,0.16937512525078252,0.5185395583966599,0.0031401400255284644,0.0031401400255284644
1993-06-03,0.16844007573100145,0.5186392375505249,0.0031395945845785365,0.0031395945845785365
1993-06-04,0.1552843798615145,0.5183417291560286,0.002848184037581762,0.002848184037581762
1993-06-07,0.17026642759146,0.5182270759758638,0.003103459111848456,0.003103459111848456
1993-06-08,0.1713322327757844,0.519052716003841,0.0032643443733809912,0.0032643443733809912
1993-06-14,0.17223264031203722,0.5213680310414235,0.0036802724045339372,0.0036802724045339372
1993-06-15,0.18817372765524543,0.5206687583103894,0.0038893172972713037,0.0038893172972713037
1993-06-16,0.1797766122307275,0.5210260453741855,0.00377999120598063,0.00377999120598063
1993-06-17,0.18496712125984227,0.5231116042197441,0.004274886900222893,0.004274886900222893
1993-06-18,0.1766317544066186,0.5210935821013507,0.0037257964132816237,0.0037257964132816237
1993-06-21,0.16422291887287838,0.5215897473147643,0.003545531321758475,0.003545531321758475
1993-06-22,0.16659903085041478,0.5214125475251778,0.003567309665733077,0.003567309665733077
1993-06-23,0.13237855179635744,0.5210432557979653,0.0027856757276149466,0.0027856757276149466
1993-06-24,0.16767754408540175,0.5233326347370812,0.003912358889755517,0.003912358889755517
1993-06-25,0.16275124689595993,0.5235158878518081,0.003827240069747331,0.003827240069747331
1993-06-28,0.1661637651245479,0.5230230784578532,0.0038256014013147623,0.0038256014013147623
1993-06-29,0.15998139502440045,0.523602189050405,0.0037759111299134228,0.0037759111299134228
1993-06-30,0.1488694003558459,0.5233622955072604,0.003477930923101933,0.003477930923101933
1993-07-01,0.1489941655781622,0.5234105022870092,0.003488028254018601,0.003488028254018601
1993-07-02,0.15603350463876542,0.524057704655399,0.0037538079709462523,0.0037538079709462523
1993-07-07,0.14822720483864316,0.522460354504084,0.0033292355678254024,0.0033292355678254024
1993-07-08,0.14733380041549987,0.523567759216499,0.0034723275326442224,0.0034723275326442224
1993-07-09,0.11772150820029714,0.5234355914664829,0.0027588731730003786,0.0027588731730003786
1993-07-12,0.1366148177672979,0.5232669836624301,0.0031786147330375818,0.0031786147330375818
1993-07-13,0.14013980181964264,0.5232007842688767,0.003251353309500667,0.003251353309500667
1993-07-14,0.14152534599017935,0.5232832181026398,0.003295165497740902,0.003295165497740902
1993-07-15,0.15823516974739793,0.5223721094813631,0.003540054541390868,0.003540054541390868
1993-07-16,0.1384766903138014,0.5222522216017228,0.0030814139995358493,0.0030814139995358493
1993-07-19,0.14463210472289983,0.5219664726312444,0.0031770571699948538,0.0031770571699948538
1993-07-20,0.13668439081772,0.5220981081831365,0.003020466455236087,0.003020466455236087
1993-07-21,0.12189421796394506,0.5224733508498569,0.0027393715268726683,0.0027393715268726683
1993-07-22,0.10961744494698883,0.5220430335807076,0.0024163010199978394,0.0024163010199978394
1993-07-23,0.09732380860235706,0.5223148924533038,0.0021717703221075173,0.0021717703221075173
1993-07-26,0.12220210117060659,0.5215512382319079,0.0026336065947674485,0.0026336065947674485
1993-07-27,0.12194901674124914,0.521619587936274,0.0026364874911795925,0.0026364874911795925
1993-07-28,0.12111133074451341,0.5215749672261335,0.0026129729915262915,0.0026129729915262915
1993-07-29,0.11904373339336721,0.5225731153377835,0.0026871879241288275,0.0026871879241288275
1993-07-30,0.11897921268526157,0.5215687117957646,0.0025662283480953844,0.0025662283480953844
1993-08-02,0.12349462813479067,0.52182769773798,0.0026956034151904506,0.0026956034151904506
1993-08-03,0.13099510205616127,0.4698344347797532,0.003951541294608022,-0.003951541294608022
1993-08-04,0.11245746108992838,0.4713201120611994,0.0032252673819411757,-0.0032252673819411757
1993-08-05,0.11436420614467235,0.4707372390000672,0.0033466124313585935,-0.0033466124313585935
1993-08-06,0.08926180937404465,0.47076319969172414,0.0026097296958243294,-0.0026097296958243294
1993-08-09,0.11571494682725009,0.47094932698850417,0.0033615970828210695,-0.0033615970828210695
1993-08-10,0.11055069059943662,0.4696293225898485,0.0033574993616649553,-0.0033574993616649553
1993-08-11,0.11719257020550694,0.4710233543802501,0.0033958475761126337,-0.0033958475761126337
1993-08-12,0.1144269343773669,0.46878010483292376,0.0035723968955513065,-0.0035723968955513065
