Strategy,Annualized Return,Annualized Volatility,Sharpe,Max Drawdown
Long/Short SSEC with inefficiency,9.521,23.307,0.409,-56.474
Long Only SSEC,3.326,23.316,0.143,-71.985
Long/short SSEC without inefficiency,5.075,23.314,0.218,-62.687
