q,h(q)
-5.0,0.7425706522074526
-4.5,0.727051369669923
-4.0,0.7115074062742653
-3.5,0.6960728432498868
-3.0,0.6808024801232981
-2.5,0.6656687825543489
-2.0,0.6505728926990988
-1.5,0.6353623340579364
-1.0,0.6198483809584635
-0.5,0.6038195305456412
0.0,0.5870514252614505
0.5,0.5693160554511469
1.0,0.550393512963668
1.5,0.5300882035986262
2.0,0.5082492207912979
2.5,0.4847933196176877
3.0,0.45973040723199654
3.5,0.43319458272120487
4.0,0.4054809262451836
4.5,0.377070484029818
5.0,0.3486052781678788
