Strategy,Annualized Return,Annualized Volatility,Sharpe,Max Drawdown
ModifOverlap120,9.211,18.905,0.487,-55.982
Long Only SP500,8.489,17.58,0.483,-56.775
Long Only Russell,7.391,21.029,0.351,-59.889
50/50 Portfolio,8.094,18.624,0.435,-57.993
