f_alpha,alpha,f_alpha_shuf,alpha_shuf
0.167924743872643,0.8932150309681712,0.5899238686404453,0.6824514542578577
0.30807598355506727,0.8639193671634711,0.6656964137721985,0.666524391187156
0.4298860499740318,0.8351593800173434,0.7337115343689202,0.6504995253207388
0.5532364384846611,0.8021730846050551,0.7962011751477945,0.6338199119288719
0.6697399298689197,0.766247087736966,0.8512700483794513,0.6168674206897065
0.7728920877165942,0.7286739543089942,0.8977591984483071,0.5999624466974294
0.8583386164907276,0.6906538234825639,0.9352376653102334,0.583313409246136
0.9235570269887381,0.6533774255258217,0.9638319171627348,0.5669875976291541
0.9678419332684647,0.6180065437877911,0.9839458693351674,0.5509116690828563
0.992435789389451,0.5853857980078765,0.995960763362818,0.5348998850138418
1.0,0.5555916346140597,1.0,0.5187005918692961
0.9930180631034886,0.5275998628301439,0.9958113996526232,0.5020509188183129
0.9717068877738365,0.49937077480185066,0.9827875722560997,0.4847337627358886
0.9329551647118103,0.46857406753821007,0.9601281980524006,0.46663449047076666
0.8721006724045173,0.433916518657744,0.9271355628727873,0.44779317105058275
0.7877691050337083,0.39640343451161586,0.8836028882540545,0.42844073778898495
0.6862871163507713,0.3593382780444691,0.8301925081179016,0.408999354440805
0.5807110765826842,0.3266419701639058,0.7686411349551379,0.3900295505193916
0.4845590448911459,0.3008213332659251,0.7016479993054077,0.37212741359834384
0.406051076839288,0.2822350961404233,0.6324386957633856,0.3558047935155814
0.3063507645581961,0.26162091393449577,0.553957745409713,0.339355787336077
