,^GSPC,^RUT,^FTSE,^N225,^GDAXI
^GSPC,,2.1681615348102278e-05,0.0067736015052160875,0.02176558605277556,0.17453552213209442
^RUT,6.94674328068448e-06,,0.019018128920088657,0.000693136298730197,4.1549264866276194e-05
^FTSE,0.4946161084006885,0.2570726988616132,,0.1010918463963783,0.0058281985042325625
^N225,0.6692696043577329,0.037331433318685395,0.3925920604127415,,0.6896685275296288
^GDAXI,0.8580899461912243,2.1500297212897344e-05,0.007430739428937806,0.4364066084150274,
