Strategy,Annualized Return,Annualized Volatility,Sharpe,Max Drawdown
ModifOverlap252,9.271,18.914,0.49,-55.982
Long Only SP500,8.489,17.58,0.483,-56.775
Long Only Russell,7.391,21.029,0.351,-59.889
50/50 Portfolio,8.094,18.624,0.435,-57.993
