,delta_alpha,hurst,ineff_abs,ineff_signed
1989-03-16,0.19201609489951565,0.5647275521287731,0.012428731792171847,0.012428731792171847
1989-03-17,0.2939661668034029,0.5603847469904211,0.0177510726061674,0.0177510726061674
1989-03-20,0.35092377737446423,0.553467310319452,0.01876295050335475,0.01876295050335475
1989-03-23,0.3668928360233905,0.553945148276333,0.019792088440806134,0.019792088440806134
1989-03-29,0.30254137411990484,0.5667182411437871,0.020185028354504524,0.020185028354504524
1989-03-30,0.29896682491894844,0.5669996132838813,0.020030661654279382,0.020030661654279382
1989-03-31,0.43101784599932547,0.5749483475627709,0.032304075327714316,0.032304075327714316
1989-04-03,0.413502451776453,0.5730652304363533,0.030212651925043594,0.030212651925043594
1989-04-04,0.34607022311695496,0.5765006235329293,0.02647458785462702,0.02647458785462702
1989-04-05,0.38541372004418456,0.5782955469657438,0.03017617801896149,0.03017617801896149
1989-04-06,0.3867246123758168,0.5751790515884646,0.029073589584330508,0.029073589584330508
1989-04-07,0.42145937661644994,0.5746305157214886,0.031453730632542753,0.031453730632542753
1989-04-10,0.3727602427980021,0.5658194833006577,0.024534886575992197,0.024534886575992197
1989-04-11,0.3514181705160811,0.5657698831395743,0.023112732007965656,0.023112732007965656
1989-04-12,0.24697335011466698,0.5696697758736882,0.017206577949262766,0.017206577949262766
1989-04-13,0.2314402161165593,0.5623034431757604,0.014419522353403763,0.014419522353403763
1989-04-14,0.3287118323100364,0.5628243231911002,0.020651098389784465,0.020651098389784465
1989-04-17,0.39153641727510435,0.5628680343056195,0.02461512491315061,0.02461512491315061
1989-04-18,0.3811532332885588,0.5643820964068184,0.02453944421135452,0.02453944421135452
1989-04-19,0.2778931614874002,0.5666851518476616,0.018531347671214015,0.018531347671214015
1989-04-20,0.24067742349445742,0.5615910105510763,0.014823565729852986,0.014823565729852986
1989-04-21,0.22336835718718012,0.5603263775636035,0.013475003851435671,0.013475003851435671
1989-04-24,0.2519754461755177,0.5540574036976373,0.01362113841580225,0.01362113841580225
1989-04-25,0.3303670745714559,0.5617673464347777,0.02040589754569914,0.02040589754569914
1989-04-26,0.30245926070314644,0.5622053188476226,0.01881457475045543,0.01881457475045543
1989-04-27,0.2580587901313899,0.5615385244081235,0.015880557155231345,0.015880557155231345
1989-04-28,0.2970500931317159,0.5602350406899586,0.017892824446744882,0.017892824446744882
1989-05-09,0.2388951671016631,0.5567518145255167,0.013557734214395902,0.013557734214395902
1989-05-10,0.25552577364786555,0.5547054143516564,0.013978643324934058,0.013978643324934058
1989-05-11,0.2406053882720834,0.5540166471710067,0.01299669636573621,0.01299669636573621
1989-05-12,0.22084316537969773,0.5499570675483384,0.011032676930462428,0.011032676930462428
1989-05-17,0.2250103701317363,0.5484063723482562,0.010891935758815767,0.010891935758815767
1989-05-18,0.23102039109191136,0.5447929054759806,0.010348074541204053,0.010348074541204053
