f_alpha,alpha,f_alpha_shuf,alpha_shuf,f_alpha_surrogate,alpha_surrogate
0.623637939199611,0.7128503197796153,0.7244743406691541,0.6470209051478487,0.908841923048904,0.5227240589942415
0.7128765974482574,0.6890337480514324,0.7952903429418259,0.6280177869062409,0.9377563310731644,0.514869755259413
0.7923252811263366,0.6645460657644745,0.8586666981566756,0.6085395985166665,0.9650415117503488,0.5065062533422557
0.8602602035346278,0.6398194400019144,0.9075986795630094,0.5907861414310307,0.9826643700197264,0.5001358253716717
0.9144292737761353,0.6157481551507262,0.9437878778656721,0.5747503476994705,0.992901794921434,0.49562882566814453
0.9542468776427064,0.5930329214313284,0.9694977454308447,0.5601074191020894,0.9979654727319422,0.49278337362195923
0.9806092215902174,0.5720188494008905,0.9866989946160903,0.546388734429925,0.999825540484575,0.4913499483029276
0.9952993807924753,0.5525412998650663,0.9966827470373218,0.533106083264099,1.0001020747174052,0.49104841315968545
1.0,0.5338255941610087,1.0,0.519818717195303,1.0,0.491583787657123
0.9951051745322633,0.5145414684410542,0.9965628142249683,0.5061664656620992,1.000284028599118,0.4926639331012922
0.9788716130953434,0.49311790538540545,0.9858210046887403,0.4918909787839168,1.0012982228284901,0.49401812488208485
0.9476791852005029,0.4683221892722062,0.9669910065929525,0.4768558462962045,1.0030281243346677,0.4954128482879915
0.8978139052846104,0.439899549465924,0.9393336769544252,0.4610661488359235,1.0051908828146034,0.4966611764985266
0.8280833994321832,0.40888956856589687,0.9024629869999531,0.44468045593949035,1.0073310916166096,0.49762425608184113
0.7415175252059931,0.3773251158014325,0.8566305707928334,0.42800357854298127,1.0089024760745697,0.498206201774739
0.6447618745239142,0.34743932653703,0.8028957881589719,0.41144983546349845,1.0093260054056854,0.4983455564165357
0.5376312405039183,0.3188947202076387,0.7420135672205959,0.39520664034172764,1.0102090518441305,0.49855227927464446
