f_alpha,alpha,f_alpha_shuf,alpha_shuf,f_alpha_surrogate,alpha_surrogate
0.385802349777574,0.8505143473218209,0.6774239815046776,0.670119552254649,0.8930849416429361,0.5641889699915426
0.5235126464476065,0.8139105020688759,0.7614854093081552,0.6475420729647953,0.9221258537478147,0.5563688659006713
0.6451454987776266,0.776352841686402,0.8368564560922132,0.6243861501014267,0.9485858870784556,0.5482411698793477
0.7563859531085062,0.735788599039764,0.8939937519622054,0.6036704858337589,0.9681823509568135,0.541133490232388
0.8496337171053132,0.6942729018903152,0.935539311260531,0.5852743134825185,0.9819543188370603,0.5350351489733929
0.9202777630528083,0.6538995675242892,0.9648454770403704,0.5685891630735269,0.9910208454565494,0.5298811133533455
0.9672078855577356,0.6164497695753732,0.9845445175719721,0.5528752191143098,0.9964586911825779,0.5255628818567004
0.9924794117631626,0.5830004715909054,0.9961132378735489,0.5374708562586481,0.9992070366703436,0.5219396281662692
1.0,0.5535753021857589,1.0,0.5218726881804777,1.0,0.5188497197206529
0.9934062583458261,0.5269852796407712,0.9959427825028984,0.5057541319464698,0.9993281566460233,0.5161229549126676
0.9738238817187865,0.5010242172878496,0.9833259014606425,0.4889697196527135,0.9974311132715697,0.5135934595763154
0.9387583229978497,0.4731688599998055,0.9615490081222098,0.4715604738161222,0.994322093920156,0.5111124841722949
0.8835594581730479,0.44176154154352026,0.9303985858291717,0.4537537813831946,0.9898418064237879,0.5085597357033756
0.8057032099727182,0.407167793200255,0.890370612101359,0.4359423596991522,0.983733638945177,0.5058516620762087
0.7091851661103832,0.3719560480894256,0.8428514446829793,0.418630934632486,0.9757275540882597,0.5029453994187966
0.6047171849144382,0.3396358027227958,0.7900708765602577,0.4023534147136164,0.9656178978866339,0.49983781031682406
0.48968292024282256,0.30904707120839303,0.7293936267454164,0.38622512178997687,0.9541838222679644,0.4967754680763651
