,Price,Alpha Width,Critical Value
1988-03-07,4.934905477114376,1.1201068523284508,0.8014593108312867
1988-03-08,4.944210555063487,1.091216808909421,0.8012947715540218
1988-03-09,4.953288622934528,0.9708437154324754,0.8032559048614085
1988-03-10,4.945278621523777,0.9529026597233882,0.8026247338533797
1988-03-11,4.945847827043666,0.8932919716933774,0.802825282674275
1988-03-14,4.947624468284939,0.7329774078130262,0.8032652600812389
1988-03-15,4.948334285221185,0.7048479818430191,0.8035724258129303
1988-03-16,4.955193079652305,0.7548368582588516,0.8072478545716726
1988-03-17,4.960674462052346,0.7786054796548341,0.8082969180866488
1988-03-18,4.960884677384832,0.6890389340164409,0.8066832398636974
1988-03-21,4.955545375072372,0.6484991361429295,0.8052364633310852
1988-03-22,4.958288856600868,0.6132505409935697,0.8057900337907534
1988-03-23,4.963334072171494,0.6057693817509798,0.8061935909167031
1988-03-24,4.951804843245525,0.7861301993907273,0.8041230695646862
1988-03-25,4.944353066085096,0.7692234829289111,0.8024427506090426
1988-03-28,4.9359836326288145,0.6360711249781221,0.819120517704493
1988-03-29,4.944210555063487,0.7373048527480417,0.8130700988566019
1988-03-30,4.941856676650246,0.7891792040560706,0.8202949614482768
1988-03-31,4.95688279515986,0.7611512655448449,0.7824905292699592
1988-04-05,4.946772109103998,0.7470139345799958,0.7730899382242313
1988-04-06,4.956601409898694,0.7230750994861908,0.7606380524433705
1988-04-07,4.962005151302408,0.7123490390787497,0.7548547119694261
1988-04-08,4.970507545361587,0.7465409761225767,0.7420089320411605
1988-04-11,4.974593539622348,0.9435925819749622,0.7524083940614411
1988-04-12,4.978938257753624,1.0535674827834232,0.7553499383453175
1988-04-13,4.97811208137308,1.0435447500328916,0.7796228769708436
1988-04-14,4.953500396466472,1.1411753306291588,0.8884986005332814
1988-04-15,4.949610557658052,1.1447413457404374,1.286182836377837
1988-04-18,4.956460633876816,1.2142386543353818,0.6916967826181567
1988-04-19,4.9596928367670134,1.1460198117008644,0.6395091563131463
1988-04-20,4.953712125159882,1.0139912582081323,0.6445474322981297
1988-04-21,4.950602125093871,0.8448548141523472,0.6509017437780609
1988-04-22,4.953712125159882,0.8495806625110749,0.5676289447597952
1988-04-25,4.95758607300644,0.934483164186838,0.6021704137560463
1988-04-26,4.96368340508355,0.67822105243387,0.6043356691324365
1988-04-27,4.967379742936501,0.5172990577417311,0.6641701644326664
1988-04-28,4.970299343411297,0.5658200267571706,0.8096610255616432
1988-04-29,4.976802667678526,0.5482929297224959,0.7537141519325911
1988-05-02,4.974869908129296,0.5356348291788361,0.7193637092473325
1988-05-03,4.978938257753624,0.450964163409856,0.7052402895645701
1988-05-04,4.9782498423579895,0.41832108691372294,0.7420130360448214
1988-05-05,4.975215340433561,0.5051541684137948,0.7611561200497363
1988-05-06,4.974247892424068,0.5703931834711633,0.7392773699565501
1988-05-09,4.967797426804317,0.9085882307242644,0.719018630748866
1988-05-10,4.965219405017361,0.8756603321940142,0.7400615277302794
1988-05-11,4.948547110442146,0.6754388772480853,0.8153108044825363
1988-05-12,4.950814468259368,0.7533174780249502,0.8083512227044849
1988-05-13,4.957023511768274,0.7624713377594026,0.7964136083820018
1988-05-16,4.957093808987629,0.753564774814062,0.7625988692346471
1988-05-17,4.954064942607862,0.7258030148680337,0.7783889963370474
1988-05-18,4.941070817623906,0.66047614567203,0.7777498784972858
1988-05-19,4.9387812340497295,0.622962811916399,0.7719831666866835
1988-05-20,4.942713234060917,0.7338086567737028,0.7696553069505
1988-05-23,4.935911725976772,1.0087232417005978,0.8158977065627544
1988-05-24,4.937777869934748,0.9855453635559807,0.8356887358469317
1988-05-25,4.9401412484547995,0.9382650411494257,0.7671182956803476
1988-05-26,4.943640416570073,0.9157506622142941,0.7582634375609186
1988-05-27,4.942285047066903,0.7475499623122637,0.7699087048670662
1988-06-01,4.961935091700455,0.8516512387066255,0.73785545797377
1988-06-02,4.961445071276337,0.8770452361479435,0.7336384524186677
1988-06-03,4.966335035199676,0.7937122883434432,0.7560697072474858
