Date,Diff
1988-09-29,0.5371274605418814
1988-09-30,0.5372260377312025
1988-10-03,0.5379935592002992
1988-10-04,0.5378753171672866
1988-10-05,0.5378991253500467
1988-10-06,0.5377889983554274
1988-10-07,0.5020787191456033
1988-10-10,0.4929724181635288
1988-10-11,0.48473798360253983
1988-10-12,0.4820802990466863
1988-10-13,0.5305289801421432
1988-10-14,0.528400911343739
1988-10-17,0.5163301034287162
1988-10-18,0.5088139918167067
1988-10-19,0.5098729454448605
1988-10-20,0.5334385204678405
1988-10-21,0.5405929883849394
1988-10-24,0.5417595787953425
1988-10-25,0.5417997267427541
1988-10-26,0.539463244224069
1988-10-27,0.5497873009955828
1988-10-28,0.5553222288125611
1988-10-31,0.5556402135519345
1988-11-01,0.5536069043483238
1988-11-02,0.5501397123294111
1988-11-03,0.5566471290006376
1988-11-04,0.5543420143224909
1988-11-07,0.5515577562237123
1988-11-08,0.5493542963950708
1988-11-09,0.5542672541017183
1988-11-10,0.5474104736844875
1988-11-11,0.5455898774838839
1988-11-14,0.5370450171729853
1988-11-15,0.5462068993844972
1988-11-16,0.5469861933043878
1988-11-17,0.5511352931930854
1988-11-18,0.5580847824218644
1988-11-21,0.5562818567840704
1988-11-22,0.5554747904056471
1988-11-23,0.5657620888098497
1988-11-24,0.5613555525938508
1988-11-25,0.5542915859664098
1988-11-28,0.5474391227688337
1988-11-29,0.5467809302054062
1988-11-30,0.5451313676940589
1988-12-01,0.5449287678242388
1988-12-02,0.5480480249179556
1988-12-05,0.5399560684767641
1988-12-06,0.5346681423992441
1988-12-07,0.531006432802427
1988-12-08,0.5298168751846659
1988-12-09,0.529028496193009
1988-12-12,0.5285686063397329
1988-12-13,0.5280110302438297
1988-12-14,0.5212651615935374
1988-12-15,0.521944228975719
1988-12-16,0.5213899613908088
1988-12-19,0.5238565359559906
1988-12-20,0.5203921336193642
1988-12-21,0.5240075979191392
1988-12-22,0.5242572041154534
1988-12-23,0.5208269242825004
1988-12-26,0.5238427625178953
1988-12-27,0.5237206750897968
1988-12-28,0.5506428365583277
1988-12-29,0.5414252932409437
1988-12-30,0.5416637775280285
1989-01-02,0.5383693642927538
1989-01-03,0.5350937922208023
1989-01-04,0.5485754394431414
1989-01-05,0.5416336416856633
1989-01-06,0.5379494981211478
1989-01-09,0.5381411016506896
1989-01-10,0.5379573425125223
1989-01-11,0.5365417819495578
1989-01-12,0.5465395762554085
1989-01-13,0.5402659657911755
1989-01-16,0.5391131672011583
1989-01-17,0.5443850408892561
1989-01-18,0.5519191211184418
1989-01-19,0.5397307720224627
1989-01-20,0.54163142366969
1989-01-23,0.5356525427717134
1989-01-24,0.5387623943497146
1989-01-25,0.5259660358955256
1989-01-26,0.5273688868872625
1989-01-27,0.5261491357491129
1989-01-30,0.5256156687714563
1989-01-31,0.5262490731239206
1989-02-01,0.5300714012826577
1989-02-02,0.5266494760062242
1989-02-03,0.5291098561495385
1989-02-06,0.5286845501486491
1989-02-07,0.525762333263843
1989-02-08,0.5298404634077304
1989-02-09,0.542793809078148
1989-02-10,0.5452537975085047
1989-02-13,0.5403853211098998
1989-02-14,0.52302022506877
1989-02-15,0.5286445966100155
1989-02-16,0.5300635962877981
1989-02-17,0.5295282888963085
1989-02-20,0.5236935691710282
1989-02-21,0.5208757450272773
1989-02-22,0.5176447214737627
1989-02-23,0.5187225145715271
1989-02-24,0.5134678327226139
1989-02-27,0.5126239870376572
1989-02-28,0.4980316645994191
1989-03-01,0.5021703288736408
1989-03-02,0.5121595447285138
1989-03-03,0.5072074631865053
1989-03-06,0.5096926321184975
1989-03-07,0.5069529260649828
1989-03-08,0.5110700861101933
1989-03-09,0.5093913742774346
1989-03-10,0.506987731836533
1989-03-13,0.505576174368735
1989-03-14,0.4894399098832902
1989-03-15,0.4810630456978476
1989-03-16,0.485729223786268
1989-03-17,0.48241485250555416
1989-03-20,0.48324484467038414
1989-03-21,0.47509062136975116
1989-03-22,0.47566389315727464
1989-03-23,0.4786533447090266
1989-03-24,0.4889436854152438
1989-03-27,0.5085899402796186
1989-03-28,0.4986013373016931
1989-03-29,0.5036810167022725
1989-03-30,0.501032611721224
1989-03-31,0.5002688908665937
1989-04-03,0.50118024577552
1989-04-04,0.4861639418122998
1989-04-05,0.4909379191195207
1989-04-06,0.484586201296837
1989-04-07,0.4803036203255078
1989-04-10,0.47870863224633936
1989-04-11,0.4837694188435956
1989-04-12,0.49545323071478187
1989-04-13,0.5028138390674566
1989-04-14,0.5062923746398319
1989-04-17,0.49340115117233346
1989-04-18,0.48582553063657274
1989-04-19,0.46800516217574456
1989-04-20,0.46817256525442624
1989-04-21,0.47300644032254885
1989-04-24,0.45795194906889974
1989-04-25,0.4579533120901122
1989-04-26,0.45981628894030113
1989-04-27,0.4639465524615704
1989-04-28,0.4664674517808445
1989-05-01,0.4683537588528382
1989-05-02,0.4676233823979685
1989-05-03,0.47700880742533264
1989-05-04,0.485335770413834
1989-05-05,0.48089130372918243
1989-05-08,0.48165253990911194
1989-05-09,0.4903655815534568
1989-05-10,0.49112812996175176
1989-05-11,0.48957570963114594
1989-05-12,0.4967928961955369
1989-05-15,0.4788881108222441
1989-05-16,0.47275461174306416
1989-05-17,0.4718699799841708
1989-05-18,0.47104505698757004
1989-05-19,0.5031366063337763
1989-05-22,0.5033631691689516
1989-05-23,0.4972133074958467
1989-05-24,0.5028680089844767
1989-05-25,0.5008395095869131
1989-05-26,0.49837659304707677
1989-05-29,0.5095983305160076
1989-05-30,0.5024981253794369
1989-05-31,0.5067409356981166
