q,h(q),h(q) shuffled
-3.0,0.5274278172279446,0.5888845725573982
-2.5,0.520131647655073,0.5819118723366656
-2.0,0.5131522481649531,0.5747187657518164
-1.5,0.506388130378635,0.5673093946719978
-1.0,0.4996887612359513,0.559668264213943
-0.5,0.4928667670707507,0.5517479302277924
0.0,0.48568517335763545,0.5434530204542332
0.5,0.4778195972448417,0.5346179189359367
1.0,0.46881666808550687,0.524975175656989
1.5,0.45810458133657445,0.5141163390646161
2.0,0.4451375879729608,0.5014661579256794
2.5,0.4297005333313803,0.4863372752140187
3.0,0.41220706731716517,0.4681796354563666
