Date,Price,Critical Value
1997-09-30,6.117700659792163,0.7709297443280727
1997-10-31,6.071338032231017,1.0502756194439384
1997-12-31,6.079978935499532,0.7288349649125683
1998-03-31,6.175201752805896,0.9252715992993644
1998-04-30,6.17978891477885,0.8878515403072426
1998-06-30,6.125536450673601,0.956763386311734
1998-07-31,6.03965929595765,1.0127475706662417
1998-08-31,5.822897991667183,0.678260865632951
1998-09-30,5.896026849102756,0.6387162037704529
1998-11-30,5.985823667217896,0.6343045399125354
1998-12-31,6.0449105025630585,0.6309194825216075
1999-03-31,5.985521936932092,0.6116275642124439
1999-04-30,6.070298826984964,0.6197194737803359
1999-06-30,6.126170233957348,0.6180176022864899
1999-08-31,6.058725889031107,0.6186181148150932
1999-09-30,6.057486314082155,0.6292779906706711
1999-11-30,6.11827336440038,0.6255334241297276
1999-12-31,6.224063257192947,0.6272473096770284
2000-01-31,6.207039551061828,0.6830982498549941
2000-02-29,6.359072050693965,0.8507450060135797
2000-03-31,6.289882582667636,0.701409529557219
2000-05-31,6.165795918629558,0.7078938942125386
2000-06-30,6.248487612094621,0.7116694947891989
2000-07-31,6.215887309179995,0.7590583353501575
2000-08-31,6.287654105523395,0.7783292154727615
2000-10-31,6.209957285490042,1.0022459786300801
2000-11-30,6.1001844192969665,1.234764500021225
2001-01-31,6.231150507837448,0.7565591507882472
2001-02-28,6.161987597616635,0.7756078472205208
2001-04-30,6.184808482275197,0.7495532492510825
2001-05-31,6.2075834834852275,0.7465075212881809
2001-07-31,6.183695177260661,0.7629370058646513
2001-08-31,6.149664156571082,0.7597431172786989
2001-10-31,6.05952034434268,0.7767154977283928
2001-11-30,6.132920703012766,0.7605661652864804
2001-12-31,6.191339471482838,0.7270142543120379
2002-01-31,6.180223684194424,0.7322048041616771
2002-02-28,6.1513700334082175,0.720191920439068
2002-04-30,6.235723615320614,0.7227726351046317
2002-05-31,6.189228752586955,0.7109293812478121
2002-07-31,5.972332729009717,0.7255897562432785
2002-09-30,5.892389759840388,0.7360224604847265
2002-10-31,5.922918004572872,0.7412108567602498
2002-12-31,5.948269938961311,0.7658933131640685
2003-01-31,5.919350775212245,0.7560214855630357
2003-02-28,5.887547403214648,0.7658278396433492
2003-03-31,5.898636308237073,0.7824937052415518
2003-04-30,5.9881590717280835,0.7787167544256963
2003-06-30,6.1056187735201455,0.7587773784833088
2003-07-31,6.165459847075909,0.7510628578905862
2003-09-30,6.189659438039733,0.7687803373762542
2003-10-31,6.269512808128081,0.7801915445519692
2003-12-31,6.322403598757288,0.8013695238209811
2004-03-31,6.38064781850606,0.6565469778462106
2004-04-30,6.327579555275295,0.6706082707981925
2004-06-30,6.382695528207069,0.662379755522392
2004-08-31,6.306147528195574,0.6673361700376426
2004-09-30,6.350781003451356,0.6712045601777438
2004-11-30,6.451686143410416,0.6790580689095548
2004-12-31,6.479384846393217,0.7011338115066937
2005-01-31,6.436182450436924,0.6779194499543638
2005-02-28,6.452143583332947,0.851791004598945
2005-03-31,6.421736094375539,0.8534465247393087
2005-05-31,6.424398932834522,0.8509871449925555
2005-06-30,6.460936743206464,0.8728476011093973
2005-08-31,6.502055157909027,0.857966236704835
2005-09-30,6.503988709230082,0.8579082041989474
2005-10-31,6.471743308029443,0.8275738769614047
2005-11-30,6.518099509163713,0.8262503044050409
2006-01-31,6.597418532614529,0.8504249081885324
2006-02-28,6.593920882432199,0.8671545448856778
2006-03-31,6.640058842763611,0.8681540637325666
2006-05-31,6.580653020358655,0.8467498413296422
2006-06-30,6.58571635523554,0.8439752893650896
2006-07-31,6.5518800117290334,0.8538124947141372
2006-08-31,6.579987092984484,0.8511080700193638
2006-10-31,6.642278209672803,0.7228235308116732
2006-11-30,6.667109446320504,0.723972698886899
2007-01-31,6.685036670936082,0.9087930530920719
2007-02-28,6.676201444920296,0.9086605306991942
2007-04-30,6.7026603756366745,0.9168995066108087
2007-05-31,6.741913178186551,0.9147464356918888
2007-07-31,6.654307141111761,0.9563987715648813
2007-08-31,6.6756466428068375,0.9408448551675259
2007-10-31,6.71903733227081,0.9544442191037388
2007-11-30,6.643490234567098,0.955644495809932
2007-12-31,6.6412213717096185,0.9772541461954076
2008-01-31,6.569902072170532,0.9243935927091791
2008-02-29,6.531139973304125,1.3275732042751622
2008-03-31,6.533745189746946,1.3334188196312808
2008-04-30,6.573931521787063,1.3697679301539942
2008-06-30,6.536198683584996,1.4102757177711267
2008-07-31,6.571611015915468,1.3863934218233913
2008-09-30,6.521474985436462,1.4882596468472082
2008-10-31,6.286966004947751,1.592256387004399
2008-12-31,6.213507517419106,1.729365050892239
2009-03-31,6.04678098777869,1.592579874014172
2009-04-30,6.189413354780239,1.5497435967859545
2009-06-30,6.2310324744346985,1.5096920223337567
2009-07-31,6.322044497493121,1.4652699398917681
2009-08-31,6.349261374317656,1.3853901448435764
2009-09-30,6.404037715157807,1.2697749150344504
2009-11-30,6.362562444222043,1.084813185344979
2009-12-31,6.438375478552238,0.94765380605801
2010-03-31,6.520090817084469,0.8231651908239651
2010-04-30,6.57451777080155,0.9802743912039592
2010-06-30,6.41262252587322,0.8054004266832656
2010-08-31,6.4003571040613165,0.9298342454221855
2010-09-30,6.516400176857112,0.9317371444960321
2010-11-30,6.588940246029689,1.0185710585713927
2010-12-31,6.66396252325437,0.9675885540113166
2011-01-31,6.660895201050611,0.9099421359419215
2011-02-28,6.71350284614447,0.9136106937051242
2011-03-31,6.737619162580961,0.9011003400595857
2011-05-31,6.743234332423696,0.9145864952445963
2011-06-30,6.718324502676317,0.9050569233432141
