q,h(q),h(q) shuffled
-3.0,0.5795007546815192,0.5703177082901031
-2.5,0.5686565795753646,0.5623875360232151
-2.0,0.5587300589602662,0.5549446255998385
-1.5,0.549555541066321,0.5479315231205073
-1.0,0.541021915739307,0.54128581278115
-0.5,0.5330715700471242,0.5349483058380686
0.0,0.5256792677768787,0.5288637620281069
0.5,0.518828486256935,0.5229776970213835
1.0,0.5124817924404304,0.5172324601585927
1.5,0.5065360580677397,0.5115652214399182
2.0,0.5007696615611499,0.5059099693352253
2.5,0.4948273949154679,0.5002046057574738
3.0,0.48830834807700185,0.4944022746395105
