q,h(q),h(q) shuffled
-3.0,0.6580680079456108,0.5700049687988311
-2.5,0.6383429802831665,0.5612679866186411
-2.0,0.6190897604429718,0.553043969112784
-1.5,0.6007514095594948,0.5451528144337738
-1.0,0.5836576551331089,0.537419736686282
-0.5,0.5679592951172304,0.529697332005746
0.0,0.5535753021857589,0.5218726881804777
0.5,0.5401727629491192,0.5138685669406732
1.0,0.5272003355690631,0.505643818192071
1.5,0.5139966446679057,0.49719446840131565
2.0,0.4999818124569963,0.48855448846860877
2.5,0.4848865092111677,0.47979411485860857
3.0,0.4688943260526312,0.4710137864048262
