,delta_alpha,hurst,ineff_abs,ineff_signed
1989-03-16,0.10548373555151391,0.44114713389524823,0.006208020164642292,-0.006208020164642292
1989-03-17,0.15691849860822615,0.44454861446868416,0.008701348163319998,-0.008701348163319998
1989-03-20,0.1378780561323376,0.4458365672078283,0.007467948826839142,-0.007467948826839142
1989-03-23,0.14978487792233852,0.4428652111382966,0.008557927374768834,-0.008557927374768834
1989-03-29,0.1476934039849126,0.44135680453228426,0.008661213159179535,-0.008661213159179535
1989-03-30,0.11194278606707442,0.44118712973466057,0.006583676554103495,-0.006583676554103495
1989-03-31,0.10691373246588076,0.4371798357563459,0.006716338233408724,-0.006716338233408724
1989-04-03,0.1470357789123281,0.4380734449967374,0.009105419250261846,-0.009105419250261846
1989-04-04,0.16853255923720306,0.435088409282481,0.010939716507781352,-0.010939716507781352
1989-04-05,0.21488124403483239,0.43390591540506734,0.01420237912110258,-0.01420237912110258
1989-04-06,0.213281092135421,0.4362940793545621,0.01358726833075146,-0.01358726833075146
1989-04-07,0.30128085666565224,0.44024004960322055,0.018004529049838597,-0.018004529049838597
1989-04-10,0.31512937623785037,0.44109075372909073,0.01856403403199355,-0.01856403403199355
1989-04-11,0.3268328941291555,0.4408726229454071,0.019324771765018428,-0.019324771765018428
1989-04-12,0.32132955066552693,0.4405095483070209,0.019116040111394218,-0.019116040111394218
1989-04-13,0.25813287704294463,0.4437467029969282,0.014520825398554179,-0.014520825398554179
1989-04-14,0.21402659879260433,0.4417260104910194,0.012472183772683026,-0.012472183772683026
1989-04-17,0.2114266152720944,0.4395840106452245,0.012773548137595068,-0.012773548137595068
1989-04-18,0.18043397358292101,0.43672440402550444,0.011417067212505714,-0.011417067212505714
1989-04-19,0.22934692102789067,0.43431117951401965,0.015065528724413422,-0.015065528724413422
1989-04-20,0.251016895380258,0.43816021410869854,0.015522831065414373,-0.015522831065414373
1989-04-21,0.31431855516859836,0.4364819075399927,0.01996491504909493,-0.01996491504909493
1989-04-24,0.3451559929526673,0.44690961843982707,0.018324463363637467,-0.018324463363637467
1989-04-25,0.39269700201476004,0.4450711613521865,0.02157039026114885,-0.02157039026114885
1989-04-26,0.3590268590043244,0.44785942923643307,0.018719865347936144,-0.018719865347936144
1989-04-27,0.3381220088246149,0.44967458364697693,0.017016130872219284,-0.017016130872219284
1989-04-28,0.2597224336477722,0.4547940414697284,0.011741001564862406,-0.011741001564862406
1989-05-09,0.20350579525944762,0.4589374074186742,0.008356475558677396,-0.008356475558677396
1989-05-10,0.11731270902399926,0.450175184107021,0.005845084129027379,-0.005845084129027379
1989-05-11,0.07459482388105099,0.4441630311593551,0.004165148856719636,-0.004165148856719636
1989-05-12,0.03912566019264091,0.45147122576426163,0.0018987203303128864,-0.0018987203303128864
1989-05-17,0.09172962804932328,0.44906567116308527,0.004672187039152109,-0.004672187039152109
1989-05-18,0.11444414288248894,0.46102864345124966,0.004460043497189605,-0.004460043497189605
1989-05-19,0.18353501532722483,0.4677058186449564,0.005927113069978103,-0.005927113069978103
1989-05-22,0.1809863378789932,0.4524079644592028,0.00861350822473578,-0.00861350822473578
1989-05-23,0.16934233275145194,0.4450772939516357,0.009300739163252289,-0.009300739163252289
1989-05-24,0.165073263377212,0.4491718071963917,0.008390375657657743,-0.008390375657657743
1989-05-31,0.1447456607487445,0.4304996175493072,0.010059878780115975,-0.010059878780115975
1989-06-01,0.09449960369124727,0.4289863414247934,0.006710762592022565,-0.006710762592022565
1989-06-02,0.09607972598350323,0.4285279507190023,0.0068670149103976985,-0.0068670149103976985
1989-06-05,0.0836996468295571,0.4313792427809289,0.005743533144413035,-0.005743533144413035
1989-06-06,0.14129738415382959,0.4323090541947593,0.009564553573179155,-0.009564553573179155
1989-06-07,0.16811965014411123,0.42593649851358584,0.012451529958343812,-0.012451529958343812
1989-06-08,0.18521035739837444,0.42290188473211077,0.014279369483506834,-0.014279369483506834
1989-06-09,0.19969516833091966,0.4266607925126058,0.014645485384451427,-0.014645485384451427
1989-06-12,0.2103914708647292,0.42525186645903545,0.01572636976007673,-0.01572636976007673
1989-06-13,0.18842262953105648,0.4292871690461122,0.013323897549916626,-0.013323897549916626
1989-06-14,0.17699383654720907,0.43430380890021963,0.011627820909288737,-0.011627820909288737
1989-06-15,0.11160391661301916,0.43621934422348607,0.00711817098880574,-0.00711817098880574
1989-06-16,0.10143070461502685,0.42491106294678255,0.0076163237941012435,-0.0076163237941012435
1989-06-19,0.1128155159611458,0.4459021997245087,0.006103071250442569,-0.006103071250442569
1989-06-20,0.19949438838720546,0.4172024098082544,0.016517654615236767,-0.016517654615236767
1989-06-21,0.2625186592155124,0.41690850151026565,0.021813068775732834,-0.021813068775732834
1989-06-22,0.3535925042256714,0.41840309319514896,0.02885205461419601,-0.02885205461419601
1989-06-23,0.38095730517067106,0.42026782062847345,0.030374556188761323,-0.030374556188761323
1989-06-26,0.41224213950323,0.4215232957342646,0.032351404467669015,-0.032351404467669015
1989-06-27,0.39905500487563966,0.423966113876702,0.030341702797646506,-0.030341702797646506
1989-06-28,0.3483974305242869,0.44409049081059504,0.019478729343462696,-0.019478729343462696
1989-06-29,0.25873079352911077,0.42832476552629734,0.018544590291766166,-0.018544590291766166
1989-06-30,0.21530479237999595,0.4322102179673696,0.014595464946020672,-0.014595464946020672
1989-07-03,0.1629407355428255,0.4303393299449914,0.011350560817169179,-0.011350560817169179
1989-07-06,0.19567755360394828,0.4254455185417896,0.014588638541953539,-0.014588638541953539
1989-07-07,0.19457890637962455,0.418023954012207,0.015950809377630572,-0.015950809377630572
