,^GSPC,^RUT,^FTSE,^N225,^GDAXI
^GSPC,,3.483600669983156e-05,0.031627779571971194,0.9912394981267224,0.2633496511335513
^RUT,6.80169346223762e-05,,0.14998126438598863,0.00016860394854902296,0.5331557967915961
^FTSE,0.34619475698419405,0.07787933480886684,,0.30111247247846284,0.026040304070791765
^N225,0.486283769455932,2.53500464223531e-05,0.6055494246768496,,0.6940613073615974
^GDAXI,0.0705076462980432,0.09982424776841643,0.011602358245760194,0.6498147113532211,
