Date,alpha_width
1988-10-19,0.5559900135395388
1988-10-20,0.6477121563290229
1988-10-21,0.7733318632552111
1988-10-24,0.8188413673078765
1988-10-25,0.715483807108046
1988-10-26,0.4658886305789929
1988-10-27,0.4226204881581801
1988-10-28,0.37032875466819015
1988-10-31,0.25241054402516205
1988-11-01,0.1979630597069173
1988-11-02,0.15883207935402543
1988-11-03,0.2715593634084732
1988-11-04,0.2600813159650728
1988-11-07,0.19341103577279273
1988-11-08,0.16439234550526294
1988-11-09,0.12768934489553674
1988-11-10,0.16737832561228005
1988-11-11,0.20093753830165517
1988-11-14,0.23991627998972032
1988-11-15,0.28508427090945165
1988-11-16,0.3174400057615201
1988-11-17,0.35958925394398866
1988-11-18,0.3556721463395549
1988-11-21,0.37536216570779946
1988-11-22,0.39113925569697594
1988-11-23,0.426921856248589
1988-11-28,0.3553824621366113
1988-11-29,0.33405759622697095
1988-11-30,0.42505140230909344
1988-12-01,0.534296085949981
1988-12-02,0.6025896807731315
1988-12-05,0.6213161428380947
1988-12-06,0.5929004967958464
1988-12-07,0.5025220856213009
1988-12-08,0.5224234530653913
1988-12-09,0.4842487257705068
1988-12-12,0.41376683929182834
1988-12-13,0.33711550874599006
1988-12-14,0.398450212088558
1988-12-15,0.5102000929046089
1988-12-16,0.5444247377206672
1988-12-19,0.5216415800402587
1988-12-20,0.49225684640117295
1988-12-21,0.5145743387016688
1988-12-22,0.5129189952566664
1988-12-23,0.5414791507948813
1988-12-28,0.545327497763586
1988-12-29,0.467321894145194
1988-12-30,0.4445477943608074
1989-01-04,0.4594471639569879
1989-01-05,0.4940218494088824
1989-01-06,0.5550391796176699
1989-01-09,0.5146681577937393
1989-01-10,0.48337444217285874
1989-01-11,0.4651891284723819
1989-01-12,0.4377913779426341
1989-01-13,0.4822850523626303
1989-01-16,0.4708670410871729
1989-01-17,0.4184301003462467
1989-01-18,0.4146518678413038
1989-01-19,0.43117591016061585
1989-01-20,0.49782697456747704
1989-01-23,0.4566748015106741
1989-01-24,0.3815946527191736
1989-01-25,0.32748979678685197
1989-01-26,0.3300635284407525
1989-01-27,0.31714941065305013
1989-01-30,0.3420223528376831
1989-01-31,0.28004046542813477
1989-02-01,0.28728311043540655
1989-02-02,0.3026018533955681
1989-02-03,0.4331440521928882
1989-02-06,0.4210418433329166
1989-02-07,0.41175771351984314
1989-02-08,0.33834099338001655
1989-02-09,0.2593714521743138
1989-02-10,0.26671509012924366
1989-02-13,0.3245114523970871
1989-02-14,0.3269508674440842
1989-02-15,0.41930535883814546
1989-02-16,0.3176745440785562
1989-02-17,0.40202965949067115
1989-02-22,0.3693560242263816
1989-02-23,0.3697585655698705
1989-02-24,0.3826306677502682
1989-02-27,0.34158444673734856
1989-02-28,0.3056432597047518
1989-03-01,0.3475374198560601
1989-03-02,0.3404783211101132
1989-03-03,0.42119467874780625
1989-03-06,0.39298103557575903
1989-03-07,0.428752658847241
1989-03-08,0.4277273866551998
1989-03-09,0.5386707503537234
1989-03-10,0.5399528146779211
1989-03-13,0.5558714170722676
1989-03-14,0.45775969136052685
1989-03-15,0.3647820937611015
1989-03-16,0.3566699647530478
