Strategy,Annualized Return,Annualized Volatility,Sharpe,Max Drawdown
ModifOverlap120,9.386,19.339,0.485,-56.26
Long Only SP500,8.196,17.875,0.458,-56.775
Long Only Russell,7.368,21.726,0.339,-59.889
50/50 Portfolio,7.941,19.134,0.415,-57.993
