Strategy,Annualized Return,Annualized Volatility,Sharpe,Max Drawdown
ModifOverlap120,12.539,23.725,0.529,-38.513
Long Only SP500,12.147,20.767,0.585,-33.925
Long Only Russell,4.988,27.216,0.183,-41.875
50/50 Portfolio,8.771,23.187,0.378,-37.363
