Date,^GSPC,^FTSE,^SBF250,^TOPX,^GSPTSE
1968-01-02,96.11000061035156,,,,
1968-01-03,95.66999816894531,,,,
1968-01-04,95.36000061035156,,,,
1968-01-05,95.94000244140625,,,,
1968-01-08,96.62000274658203,,,,
1968-01-09,96.5,,,,
1968-01-10,96.5199966430664,,,,
1968-01-11,96.62000274658203,,,,
1968-01-12,96.72000122070312,,,,
1968-01-15,96.41999816894531,,,,
1968-01-16,95.81999969482422,,,,
1968-01-17,95.63999938964844,,,,
1968-01-18,95.55999755859375,,,,
1968-01-19,95.23999786376953,,,,
1968-01-22,94.02999877929688,,,,
1968-01-23,93.66000366210938,,,,
1968-01-24,93.16999816894531,,,,
1968-01-25,93.30000305175781,,,,
1968-01-26,93.44999694824219,,,,
1968-01-29,93.3499984741211,,,,
1968-01-30,92.88999938964844,,,,
1968-01-31,92.23999786376953,,,,
1968-02-01,92.55999755859375,,,,
1968-02-02,92.2699966430664,,,,
1968-02-05,91.87000274658203,,,,
1968-02-06,91.9000015258789,,,,
1968-02-07,92.05999755859375,,,,
1968-02-08,90.9000015258789,,,,
1968-02-09,89.86000061035156,,,,
1968-02-13,89.06999969482422,,,,
1968-02-14,90.13999938964844,,,,
1968-02-15,90.30000305175781,,,,
1968-02-16,89.95999908447266,,,,
1968-02-19,90.30999755859375,,,,
1968-02-20,91.23999786376953,,,,
1968-02-21,91.23999786376953,,,,
1968-02-23,90.88999938964844,,,,
1968-02-26,90.18000030517578,,,,
1968-02-27,90.52999877929688,,,,
1968-02-28,90.08000183105469,,,,
1968-02-29,89.36000061035156,,,,
1968-03-01,89.11000061035156,,,,
1968-03-04,87.91999816894531,,,,
1968-03-05,87.72000122070312,,,,
1968-03-06,89.26000213623047,,,,
1968-03-07,89.0999984741211,,,,
1968-03-08,89.02999877929688,,,,
1968-03-11,90.12999725341797,,,,
1968-03-12,90.2300033569336,,,,
1968-03-13,90.02999877929688,,,,
1968-03-14,88.31999969482422,,,,
1968-03-15,89.0999984741211,,,,
1968-03-18,89.58999633789062,,,,
1968-03-19,88.98999786376953,,,,
1968-03-20,88.9800033569336,,,,
1968-03-21,88.33000183105469,,,,
1968-03-22,88.41999816894531,,,,
1968-03-25,88.33000183105469,,,,
1968-03-26,88.93000030517578,,,,
1968-03-27,89.66000366210938,,,,
1968-03-28,89.56999969482422,,,,
1968-03-29,90.19999694824219,,,,
1968-04-01,92.4800033569336,,,,
1968-04-02,92.63999938964844,,,,
1968-04-03,93.47000122070312,,,,
1968-04-04,93.83999633789062,,,,
1968-04-05,93.29000091552734,,,,
1968-04-08,94.94999694824219,,,,
1968-04-10,95.66999816894531,,,,
1968-04-11,96.52999877929688,,,,
1968-04-15,96.58999633789062,,,,
1968-04-16,96.62000274658203,,,,
1968-04-17,96.80999755859375,,,,
1968-04-18,97.08000183105469,,,,
1968-04-19,95.8499984741211,,,,
1968-04-22,95.31999969482422,,,,
1968-04-23,96.62000274658203,,,,
1968-04-24,96.91999816894531,,,,
1968-04-25,96.62000274658203,,,,
1968-04-26,97.20999908447266,,,,
1968-04-29,97.97000122070312,,,,
1968-04-30,97.45999908447266,,,,
1968-05-01,97.97000122070312,,,,
1968-05-02,98.58999633789062,,,,
1968-05-03,98.66000366210938,,,,
1968-05-06,98.3499984741211,,,,
1968-05-07,98.9000015258789,,,,
1968-05-08,98.91000366210938,,,,
1968-05-09,98.38999938964844,,,,
1968-05-10,98.5,,,,
1968-05-13,98.19000244140625,,,,
1968-05-14,98.12000274658203,,,,
1968-05-15,98.06999969482422,,,,
1968-05-16,97.5999984741211,,,,
1968-05-17,96.9000015258789,,,,
1968-05-20,96.44999694824219,,,,
1968-05-21,96.93000030517578,,,,
1968-05-22,97.18000030517578,,,,
1968-05-23,96.97000122070312,,,,
1968-05-24,97.1500015258789,,,,
1968-05-27,96.98999786376953,,,,
1968-05-28,97.62000274658203,,,,
1968-05-29,97.91999816894531,,,,
1968-05-31,98.68000030517578,,,,
1968-06-03,99.98999786376953,,,,
1968-06-04,100.37999725341797,,,,
1968-06-05,99.88999938964844,,,,
1968-06-06,100.6500015258789,,,,
1968-06-07,101.2699966430664,,,,
1968-06-10,101.41000366210938,,,,
1968-06-11,101.66000366210938,,,,
1968-06-13,101.25,,,,
1968-06-14,101.12999725341797,,,,
1968-06-17,100.12999725341797,,,,
1968-06-18,99.98999786376953,,,,
1968-06-20,101.51000213623047,,,,
1968-06-21,100.66000366210938,,,,
1968-06-24,100.38999938964844,,,,
1968-06-25,100.08000183105469,,,,
1968-06-27,99.9800033569336,,,,
1968-06-28,99.58000183105469,,,,
1968-07-01,99.4000015258789,,,,
1968-07-02,99.73999786376953,,,,
1968-07-03,100.91000366210938,,,,
1968-07-08,101.94000244140625,,,,
1968-07-09,102.2300033569336,,,,
1968-07-11,102.38999938964844,,,,
1968-07-12,102.33999633789062,,,,
1968-07-15,102.26000213623047,,,,
1968-07-16,101.69999694824219,,,,
1968-07-18,101.44000244140625,,,,
1968-07-19,100.45999908447266,,,,
1968-07-22,99.33000183105469,,,,
1968-07-23,99.20999908447266,,,,
1968-07-25,97.94000244140625,,,,
1968-07-26,98.33999633789062,,,,
1968-07-29,97.6500015258789,,,,
1968-07-30,97.73999786376953,,,,
1968-08-01,97.27999877929688,,,,
1968-08-02,96.62999725341797,,,,
1968-08-05,96.8499984741211,,,,
1968-08-06,97.25,,,,
1968-08-08,97.04000091552734,,,,
1968-08-09,97.01000213623047,,,,
1968-08-12,98.01000213623047,,,,
1968-08-13,98.52999877929688,,,,
