Strategy,Annualized Return,Annualized Volatility,Sharpe,Max Drawdown
ModifOverlap120,6.888,21.252,0.324,-55.982
Long Only SP500,5.534,19.032,0.291,-56.775
Long Only Russell,5.761,23.994,0.24,-59.889
50/50 Portfolio,5.818,20.897,0.278,-57.993
