Strategy,Annualized Return,Annualized Volatility,Sharpe,Max Drawdown
ModifOverlap1260,9.017,19.468,0.463,-56.269
Long Only SP500,8.228,17.995,0.457,-56.775
Long Only Russell,7.471,21.905,0.341,-59.889
50/50 Portfolio,8.01,19.284,0.415,-57.993
