Strategy,Annualized Return,Annualized Volatility,Sharpe,Max Drawdown
ModifOverlap120,10.473,19.633,0.533,-38.513
Long Only SP500,10.652,17.464,0.61,-33.925
Long Only Russell,5.737,22.447,0.256,-43.061
50/50 Portfolio,8.342,19.289,0.432,-37.363
