Date,Price,Alpha Width,Critical Value
1997-09-30,6.117700659792163,0.6903699792658383,0.7709297443280727
1997-10-31,6.071338032231017,0.4631512095611587,1.0502756194439384
1997-12-31,6.079978935499532,0.543019622541322,0.7288349649125683
1998-03-31,6.175201752805896,0.651168182986791,0.9252715992993644
1998-04-30,6.17978891477885,0.6171225792999471,0.8878515403072426
1998-06-30,6.125536450673601,0.5135324631376297,0.956763386311734
1998-07-31,6.03965929595765,0.5607256412934342,1.0127475706662417
1998-08-31,5.822897991667183,0.9290409383816273,0.678260865632951
1998-09-30,5.896026849102756,0.8930417377850682,0.6387162037704529
1998-11-30,5.985823667217896,0.7224392237374067,0.6343045399125354
1998-12-31,6.0449105025630585,0.6216554349306702,0.6309194825216075
1999-03-31,5.985521936932092,0.6428942458102554,0.6116275642124439
1999-04-30,6.070298826984964,0.5739298318793227,0.6197194737803359
1999-06-30,6.126170233957348,0.4629844573460696,0.6180176022864899
1999-08-31,6.058725889031107,0.543064711253461,0.6186181148150932
1999-09-30,6.057486314082155,0.5003413490383011,0.6292779906706711
1999-11-30,6.11827336440038,0.6474682507422591,0.6255334241297276
1999-12-31,6.224063257192947,0.7386450479069928,0.6272473096770284
2000-01-31,6.207039551061828,0.661853207341437,0.6830982498549941
2000-02-29,6.359072050693965,0.6077949107546803,0.8507450060135797
2000-03-31,6.289882582667636,0.3382855054708592,0.701409529557219
2000-05-31,6.165795918629558,0.5697338572006192,0.7078938942125386
2000-06-30,6.248487612094621,0.4598981975057415,0.7116694947891989
2000-07-31,6.215887309179995,0.2748667536305498,0.7590583353501575
2000-08-31,6.287654105523395,0.37694434400273075,0.7783292154727615
2000-10-31,6.209957285490042,0.4644906120136166,1.0022459786300801
2000-11-30,6.1001844192969665,0.4452831019850354,1.234764500021225
2001-01-31,6.231150507837448,0.3679016431929235,0.7565591507882472
2001-02-28,6.161987597616635,0.45201748146259246,0.7756078472205208
2001-04-30,6.184808482275197,0.500827806282431,0.7495532492510825
2001-05-31,6.2075834834852275,0.4720198042247273,0.7465075212881809
2001-07-31,6.183695177260661,0.31554068052220685,0.7629370058646513
2001-08-31,6.149664156571082,0.38909002081513827,0.7597431172786989
2001-10-31,6.05952034434268,0.3469264949500271,0.7767154977283928
2001-11-30,6.132920703012766,0.39755563458265264,0.7605661652864804
2001-12-31,6.191339471482838,0.45891170846516893,0.7270142543120379
2002-01-31,6.180223684194424,0.6525786688431765,0.7322048041616771
2002-02-28,6.1513700334082175,0.6977543971630862,0.720191920439068
2002-04-30,6.235723615320614,0.5470263379014824,0.7227726351046317
2002-05-31,6.189228752586955,0.7019008314510696,0.7109293812478121
2002-07-31,5.972332729009717,0.6020165611160615,0.7255897562432785
2002-09-30,5.892389759840388,0.5670236608845101,0.7360224604847265
2002-10-31,5.922918004572872,0.5437990276853746,0.7412108567602498
2002-12-31,5.948269938961311,0.6719128311529352,0.7658933131640685
2003-01-31,5.919350775212245,0.6540450842181013,0.7560214855630357
2003-02-28,5.887547403214648,0.6322500386354838,0.7658278396433492
2003-03-31,5.898636308237073,0.7716674794214342,0.7824937052415518
2003-04-30,5.9881590717280835,0.7653187488184927,0.7787167544256963
2003-06-30,6.1056187735201455,0.717821446797276,0.7587773784833088
2003-07-31,6.165459847075909,0.7127576010708125,0.7510628578905862
2003-09-30,6.189659438039733,1.0294151091289612,0.7687803373762542
2003-10-31,6.269512808128081,1.0224371581931417,0.7801915445519692
2003-12-31,6.322403598757288,0.9111727401427492,0.8013695238209811
2004-03-31,6.38064781850606,1.128065680201043,0.6565469778462106
2004-04-30,6.327579555275295,1.063923815091794,0.6706082707981925
2004-06-30,6.382695528207069,1.051112022978153,0.662379755522392
2004-08-31,6.306147528195574,1.1625526261213939,0.6673361700376426
2004-09-30,6.350781003451356,1.0776190760443924,0.6712045601777438
2004-11-30,6.451686143410416,1.2682911759559008,0.6790580689095548
2004-12-31,6.479384846393217,1.2881099840821473,0.7011338115066937
2005-01-31,6.436182450436924,1.3077368886171767,0.6779194499543638
2005-02-28,6.452143583332947,1.2473295276868952,0.851791004598945
2005-03-31,6.421736094375539,1.2082956283368134,0.8534465247393087
2005-05-31,6.424398932834522,1.2201449731451244,0.8509871449925555
2005-06-30,6.460936743206464,1.064190872733311,0.8728476011093973
2005-08-31,6.502055157909027,0.7647999500384806,0.857966236704835
2005-09-30,6.503988709230082,0.7917862230418811,0.8579082041989474
2005-10-31,6.471743308029443,0.8309455413321991,0.8275738769614047
2005-11-30,6.518099509163713,0.8139264770042967,0.8262503044050409
2006-01-31,6.597418532614529,0.6348284518077574,0.8504249081885324
2006-02-28,6.593920882432199,0.7000847342166361,0.8671545448856778
2006-03-31,6.640058842763611,0.7481595649421113,0.8681540637325666
2006-05-31,6.580653020358655,0.734738294666706,0.8467498413296422
2006-06-30,6.58571635523554,0.5426379782425063,0.8439752893650896
2006-07-31,6.5518800117290334,0.4874179864574149,0.8538124947141372
2006-08-31,6.579987092984484,0.5380341801175299,0.8511080700193638
2006-10-31,6.642278209672803,0.3646497604524007,0.7228235308116732
2006-11-30,6.667109446320504,0.34445585186144845,0.723972698886899
2007-01-31,6.685036670936082,0.39523822274333303,0.9087930530920719
2007-02-28,6.676201444920296,0.7678598733270043,0.9086605306991942
2007-04-30,6.7026603756366745,0.37510420009430573,0.9168995066108087
2007-05-31,6.741913178186551,0.4450016080452552,0.9147464356918888
2007-07-31,6.654307141111761,0.32534436624676505,0.9563987715648813
2007-08-31,6.6756466428068375,0.3061022731395908,0.9408448551675259
