f_alpha,alpha
0.6433778572132223,0.7986622816866153
0.6684916506990979,0.7938739323403914
0.6630330584555342,0.7952088058338502
0.6748407517957935,0.7920476187710541
0.7090521553309431,0.7814060732391168
0.7648226312004804,0.7608883856502411
0.8338080599418274,0.7298910493705943
0.902425584292708,0.6903190635874181
0.9572003481867539,0.6462283241737354
0.9899842266101406,0.6025013480823627
1.0,0.563365578801052
0.9924015911172585,0.5315627257290038
0.9752457651359024,0.5082177084059882
0.9561157123112558,0.49274911683789313
0.9380650590249386,0.482500344920891
0.9165009745585531,0.4731219632100452
0.8820973952423105,0.460807103085227
0.8295745065604596,0.4447282858435199
0.7626435187624443,0.42685656584966325
0.6900634923888013,0.4097117244226004
0.6151837859297673,0.39392693679630447
