q,h(q),h(q) shuffled
-3.0,0.5310500064146472,0.5740680753313433
-2.5,0.5231535953668214,0.5671406122536669
-2.0,0.5159479950340006,0.5604612548756114
-1.5,0.5092871053416287,0.5539416716423533
-1.0,0.5029679304471434,0.5474802800729215
-0.5,0.4967291145300422,0.540957410290798
0.0,0.4902362705715712,0.5342242680804693
0.5,0.48305636837931454,0.5270855359805902
1.0,0.4746334436838426,0.5192754127677938
1.5,0.46430588914652615,0.5104300475937695
2.0,0.4514402658413001,0.50007100340026
2.5,0.43573163587995023,0.48763919927237986
3.0,0.4175425354487816,0.4726418049857508
